date,day,nav_inr,return_pct,bench_inr,bench_return_pct,timestamp
2026-07-22,0,499419.37,-0.1161,,,2026-07-22T11:40:24+05:30
2026-07-23,1,497672.17,-0.4656,497475.90,-0.5048,2026-07-23T12:57:14+00:00
2026-07-24,2,495728.34,-0.8543,496067.47,-0.7865,2026-07-24T12:55:30+00:00
2026-07-26,4,495535.48,-0.8929,496067.47,-0.7865,2026-07-26T13:07:12+05:30
2026-07-27,5,497279.99,-0.5440,500420.71,0.0841,2026-07-27T13:52:55+00:00
2026-07-28,6,491213.56,-1.7573,500310.97,0.0622,2026-07-28T13:08:42+00:00
2026-07-29,7,491663.01,-1.6674,504499.60,0.8999,2026-07-29T13:13:56+00:00
2026-07-30,8,490805.14,-1.8390,505725.06,1.1450,2026-07-30T13:05:38+00:00
2026-07-31,9,493035.09,-1.3930,507426.16,1.4852,2026-07-31T13:13:22+00:00
2026-08-03,12,499645.41,-0.0709,511907.39,2.3815,2026-08-03T13:57:37+00:00
2026-08-04,13,503370.08,0.6740,509932.00,1.9864,2026-08-04T13:15:06+00:00
2026-08-05,14,510586.74,2.1173,512072.00,2.4144,2026-08-05T13:10:19+00:00
2026-08-06,15,519193.28,3.8387,513224.34,2.6449,2026-08-06T13:09:05+00:00
2026-08-07,16,519909.90,3.9820,511834.21,2.3668,2026-08-07T12:07:28+00:00
2026-08-10,19,518963.16,3.7926,512986.55,2.5973,2026-08-10T12:07:34+00:00
2026-08-11,20,520275.60,4.0551,510553.88,2.1108,2026-08-11T12:07:41+00:00
2026-08-12,21,526119.84,5.2240,509072.33,1.8145,2026-08-12T12:31:38+00:00
2026-08-13,22,524902.83,4.9806,508779.67,1.7559,2026-08-13T12:32:59+00:00
2026-08-14,23,524287.48,4.8575,509127.20,1.8254,2026-08-14T12:28:27+00:00
